title,rating,votes,language,release_date,runtime,budget,revenue,type,number_of_seasons,number_of_episodes,genres,release_year
Final Destination Bloodlines,7.228,1200,en,2025-05-14,110.0,50000000.0,280104000.0,movie,,,Horror,2025
Final Destination Bloodlines,7.228,1200,en,2025-05-14,110.0,50000000.0,280104000.0,movie,,,Mystery,2025
Lilo & Stitch,7.105,704,en,2025-05-17,108.0,100000000.0,910349181.0,movie,,,Family,2025
Lilo & Stitch,7.105,704,en,2025-05-17,108.0,100000000.0,910349181.0,movie,,,Science Fiction,2025
Lilo & Stitch,7.105,704,en,2025-05-17,108.0,100000000.0,910349181.0,movie,,,Comedy,2025
Lilo & Stitch,7.105,704,en,2025-05-17,108.0,100000000.0,910349181.0,movie,,,Adventure,2025
Crazy Lizard,5.7,10,zh,2024-03-27,75.0,0.0,0.0,movie,,,Action,2024
Crazy Lizard,5.7,10,zh,2024-03-27,75.0,0.0,0.0,movie,,,Thriller,2024
Crazy Lizard,5.7,10,zh,2024-03-27,75.0,0.0,0.0,movie,,,Horror,2024
The Twisters,5.176,17,en,2024-06-28,87.0,0.0,0.0,movie,,,Action,2024
The Twisters,5.176,17,en,2024-06-28,87.0,0.0,0.0,movie,,,Adventure,2024
The Twisters,5.176,17,en,2024-06-28,87.0,0.0,0.0,movie,,,Drama,2024
Distant,6.217,127,en,2024-07-12,87.0,0.0,0.0,movie,,,Science Fiction,2024
Distant,6.217,127,en,2024-07-12,87.0,0.0,0.0,movie,,,Comedy,2024
Distant,6.217,127,en,2024-07-12,87.0,0.0,0.0,movie,,,Action,2024
Candle in the Tomb: The Worm Valley,5.889,9,zh,2023-09-22,94.0,0.0,0.0,movie,,,Action,2023
Candle in the Tomb: The Worm Valley,5.889,9,zh,2023-09-22,94.0,0.0,0.0,movie,,,Adventure,2023
Candle in the Tomb: The Worm Valley,5.889,9,zh,2023-09-22,94.0,0.0,0.0,movie,,,Horror,2023
How to Train Your Dragon,7.97,387,en,2025-06-06,125.0,150000000.0,358189000.0,movie,,,Fantasy,2025
How to Train Your Dragon,7.97,387,en,2025-06-06,125.0,150000000.0,358189000.0,movie,,,Family,2025
How to Train Your Dragon,7.97,387,en,2025-06-06,125.0,150000000.0,358189000.0,movie,,,Action,2025
The Amateur,6.94,604,en,2025-04-09,123.0,60000000.0,95956038.0,movie,,,Thriller,2025
