title,rating,votes,language,release_date,runtime,budget,revenue,genres,type,number_of_seasons,number_of_episodes
The Shining,8.212,17993,en,1980-05-23,144.0,19000000.0,44781695.0,Horror,movie,,
The Shining,8.212,17993,en,1980-05-23,144.0,19000000.0,44781695.0,Thriller,movie,,
Devil Hunter,4.446,37,es,1980-12-05,102.0,0.0,0.0,Horror,movie,,
The Empire Strikes Back,8.396,17476,en,1980-05-20,124.0,18000000.0,538400000.0,Adventure,movie,,
The Empire Strikes Back,8.396,17476,en,1980-05-20,124.0,18000000.0,538400000.0,Action,movie,,
The Empire Strikes Back,8.396,17476,en,1980-05-20,124.0,18000000.0,538400000.0,Science Fiction,movie,,
The Elephant Man,8.1,3670,en,1980-10-09,124.0,5000000.0,26000000.0,Drama,movie,,
The Elephant Man,8.1,3670,en,1980-10-09,124.0,5000000.0,26000000.0,History,movie,,
Airplane!,7.302,4670,en,1980-07-02,88.0,3500000.0,83453539.0,Comedy,movie,,
Friday the 13th,6.417,3082,en,1980-05-09,95.0,550000.0,59754601.0,Horror,movie,,
The Blues Brothers,7.726,4320,en,1980-06-16,133.0,27000000.0,115229890.0,Music,movie,,
The Blues Brothers,7.726,4320,en,1980-06-16,133.0,27000000.0,115229890.0,Comedy,movie,,
The Blues Brothers,7.726,4320,en,1980-06-16,133.0,27000000.0,115229890.0,Action,movie,,
The Blues Brothers,7.726,4320,en,1980-06-16,133.0,27000000.0,115229890.0,Crime,movie,,
Madness,4.9,23,it,1980-03-20,89.0,0.0,0.0,Thriller,movie,,
Madness,4.9,23,it,1980-03-20,89.0,0.0,0.0,Action,movie,,
Madness,4.9,23,it,1980-03-20,89.0,0.0,0.0,Crime,movie,,
Cannibal Holocaust,6.3,1728,it,1980-02-07,96.0,100000.0,2000000.0,Horror,movie,,
Virus,6.344,64,ja,1980-06-26,156.0,16000000.0,0.0,Horror,movie,,
Virus,6.344,64,ja,1980-06-26,156.0,16000000.0,0.0,Science Fiction,movie,,
Virus,6.344,64,ja,1980-06-26,156.0,16000000.0,0.0,Drama,movie,,
The Porno Killers,4.5,20,it,1980-04-20,82.0,0.0,0.0,Crime,movie,,
The Porno Killers,4.5,20,it,1980-04-20,82.0,0.0,0.0,Action,movie,,
Raging Bull,7.924,4461,en,1980-11-14,129.0,18000000.0,23380203.0,Drama,movie,,
The Blue Lagoon,6.154,1887,en,1980-07-05,104.0,4500000.0,58853106.0,Romance,movie,,
The Blue Lagoon,6.154,1887,en,1980-07-05,104.0,4500000.0,58853106.0,Adventure,movie,,
Nine to Five,6.914,517,en,1980-12-18,110.0,10000000.0,103300000.0,Comedy,movie,,
The Gods Must Be Crazy,7.273,1206,en,1980-09-10,109.0,5000000.0,200000000.0,Action,movie,,
The Gods Must Be Crazy,7.273,1206,en,1980-09-10,109.0,5000000.0,200000000.0,Comedy,movie,,
Dressed to Kill,7.0,1006,en,1980-07-25,105.0,6500000.0,31899000.0,Thriller,movie,,
Dressed to Kill,7.0,1006,en,1980-07-25,105.0,6500000.0,31899000.0,Mystery,movie,,
Dressed to Kill,7.0,1006,en,1980-07-25,105.0,6500000.0,31899000.0,Horror,movie,,
Superman II,6.741,2338,en,1980-12-12,127.0,54000000.0,216385706.0,Science Fiction,movie,,
Superman II,6.741,2338,en,1980-12-12,127.0,54000000.0,216385706.0,Action,movie,,
Superman II,6.741,2338,en,1980-12-12,127.0,54000000.0,216385706.0,Adventure,movie,,
The Erotic Twin,2.7,5,it,1980-08-05,82.0,0.0,0.0,Drama,movie,,
Popeye,5.489,646,en,1980-12-12,114.0,20000000.0,49823037.0,Action,movie,,
Popeye,5.489,646,en,1980-12-12,114.0,20000000.0,49823037.0,Adventure,movie,,
Popeye,5.489,646,en,1980-12-12,114.0,20000000.0,49823037.0,Comedy,movie,,
Popeye,5.489,646,en,1980-12-12,114.0,20000000.0,49823037.0,Family,movie,,
Somewhere in Time,7.5,605,en,1980-10-02,103.0,5100000.0,0.0,Drama,movie,,
Somewhere in Time,7.5,605,en,1980-10-02,103.0,5100000.0,0.0,Fantasy,movie,,
Somewhere in Time,7.5,605,en,1980-10-02,103.0,5100000.0,0.0,Romance,movie,,
The Final Countdown,6.606,624,en,1980-01-31,103.0,12000000.0,16647800.0,War,movie,,
The Final Countdown,6.606,624,en,1980-01-31,103.0,12000000.0,16647800.0,Action,movie,,
The Final Countdown,6.606,624,en,1980-01-31,103.0,12000000.0,16647800.0,Science Fiction,movie,,
Urban Cowboy,6.448,262,en,1980-06-06,132.0,10000000.0,53300000.0,Drama,movie,,
Urban Cowboy,6.448,262,en,1980-06-06,132.0,10000000.0,53300000.0,Romance,movie,,
Urban Cowboy,6.448,262,en,1980-06-06,132.0,10000000.0,53300000.0,Western,movie,,
Private Benjamin,5.956,394,en,1980-10-06,110.0,15000000.0,69800000.0,Comedy,movie,,
Emmanuelle: Queen of Sados,6.261,117,el,1980-02-01,91.0,0.0,0.0,Crime,movie,,
Emmanuelle: Queen of Sados,6.261,117,el,1980-02-01,91.0,0.0,0.0,Drama,movie,,
Emmanuelle: Queen of Sados,6.261,117,el,1980-02-01,91.0,0.0,0.0,Thriller,movie,,
Caddyshack,6.601,1207,en,1980-07-25,98.0,6000000.0,39846344.0,Comedy,movie,,
Kagemusha,7.8,676,ja,1980-04-26,180.0,6000000.0,4000000.0,Action,movie,,
Kagemusha,7.8,676,ja,1980-04-26,180.0,6000000.0,4000000.0,Drama,movie,,
Kagemusha,7.8,676,ja,1980-04-26,180.0,6000000.0,4000000.0,History,movie,,
Kagemusha,7.8,676,ja,1980-04-26,180.0,6000000.0,4000000.0,War,movie,,
The Young Master,7.0,224,cn,1980-02-09,107.0,0.0,0.0,Action,movie,,
The Young Master,7.0,224,cn,1980-02-09,107.0,0.0,0.0,Comedy,movie,,
Return to the 36th Chamber,6.9,232,zh,1980-08-24,101.0,0.0,0.0,Action,movie,,
Return to the 36th Chamber,6.9,232,zh,1980-08-24,101.0,0.0,0.0,Comedy,movie,,
The Fog,6.7,1614,en,1980-02-07,90.0,1000000.0,21448830.0,Horror,movie,,
Prom Night,5.696,455,en,1980-07-18,93.0,1500000.0,14796236.0,Horror,movie,,
Prom Night,5.696,455,en,1980-07-18,93.0,1500000.0,14796236.0,Mystery,movie,,
Prom Night,5.696,455,en,1980-07-18,93.0,1500000.0,14796236.0,Thriller,movie,,
The Changeling,6.982,664,en,1980-03-28,105.0,7600000.0,12000000.0,Horror,movie,,
Joshigakusei: shūdan bōkōjiken,2.0,1,ja,1980-11-01,61.0,0.0,0.0,,movie,,
Doraemon: Nobita's Dinosaur,6.7,63,ja,1980-03-15,100.0,0.0,25000000.0,Animation,movie,,
Doraemon: Nobita's Dinosaur,6.7,63,ja,1980-03-15,100.0,0.0,25000000.0,Adventure,movie,,
Doraemon: Nobita's Dinosaur,6.7,63,ja,1980-03-15,100.0,0.0,25000000.0,Family,movie,,
Doraemon: Nobita's Dinosaur,6.7,63,ja,1980-03-15,100.0,0.0,25000000.0,Fantasy,movie,,
Doraemon: Nobita's Dinosaur,6.7,63,ja,1980-03-15,100.0,0.0,25000000.0,Science Fiction,movie,,
Flash Gordon,6.237,1010,en,1980-09-01,111.0,35000000.0,27100000.0,Science Fiction,movie,,
Flash Gordon,6.237,1010,en,1980-09-01,111.0,35000000.0,27100000.0,Adventure,movie,,
Flash Gordon,6.237,1010,en,1980-09-01,111.0,35000000.0,27100000.0,Action,movie,,
American Gigolo,6.164,683,en,1980-02-01,117.0,5000000.0,52700000.0,Crime,movie,,
American Gigolo,6.164,683,en,1980-02-01,117.0,5000000.0,52700000.0,Drama,movie,,
American Gigolo,6.164,683,en,1980-02-01,117.0,5000000.0,52700000.0,Mystery,movie,,
Encounters of the Spooky Kind,6.786,91,cn,1980-12-24,102.0,0.0,731753.0,Action,movie,,
Encounters of the Spooky Kind,6.786,91,cn,1980-12-24,102.0,0.0,731753.0,Comedy,movie,,
Encounters of the Spooky Kind,6.786,91,cn,1980-12-24,102.0,0.0,731753.0,Fantasy,movie,,
Encounters of the Spooky Kind,6.786,91,cn,1980-12-24,102.0,0.0,731753.0,Horror,movie,,
Tender Cousins,5.9,74,fr,1980-11-19,92.0,0.0,0.0,Drama,movie,,
Tender Cousins,5.9,74,fr,1980-11-19,92.0,0.0,0.0,Romance,movie,,
High Tide,8.0,1,en,1980-03-11,99.0,0.0,0.0,Thriller,movie,,
Dolce... calda Lisa,4.8,10,it,1980-03-28,84.0,0.0,0.0,Drama,movie,,
Fame,6.4,477,en,1980-05-16,134.0,8500000.0,42000000.0,Drama,movie,,
Fame,6.4,477,en,1980-05-16,134.0,8500000.0,42000000.0,Music,movie,,
The Doctor Is Staying with the Colonel,5.3,47,it,1980-11-28,84.0,0.0,0.0,Comedy,movie,,
Midnight Madness,5.713,61,en,1980-02-08,112.0,0.0,0.0,Comedy,movie,,
Midnight Madness,5.713,61,en,1980-02-08,112.0,0.0,0.0,Family,movie,,
Clan of the White Lotus,6.6,42,zh,1980-01-01,95.0,0.0,0.0,Action,movie,,
Heaven's Gate,6.796,378,en,1980-11-19,218.0,44000000.0,3484331.0,Drama,movie,,
Heaven's Gate,6.796,378,en,1980-11-19,218.0,44000000.0,3484331.0,Western,movie,,
The Taming of the Scoundrel,7.124,470,it,1980-12-20,104.0,0.0,0.0,Comedy,movie,,
The Tomb of Dracula,5.3,20,ja,1980-08-19,91.0,0.0,0.0,Animation,movie,,
The Tomb of Dracula,5.3,20,ja,1980-08-19,91.0,0.0,0.0,Drama,movie,,
The Tomb of Dracula,5.3,20,ja,1980-08-19,91.0,0.0,0.0,Horror,movie,,
The Tomb of Dracula,5.3,20,ja,1980-08-19,91.0,0.0,0.0,TV Movie,movie,,
Toward the Terra,6.125,24,ja,1980-04-26,113.0,0.0,0.0,Animation,movie,,
Toward the Terra,6.125,24,ja,1980-04-26,113.0,0.0,0.0,Adventure,movie,,
Toward the Terra,6.125,24,ja,1980-04-26,113.0,0.0,0.0,Action,movie,,
