title,rating,votes,genre_ids,language,release_date
Final Destination Bloodlines,7.203,991,"[27, 9648]",en,2025-05-14
The Amateur,6.9,547,"[53, 28]",en,2025-04-09
STRAW,8.038,542,"[53, 18, 80]",en,2025-06-05
Lilo & Stitch,7.104,670,"[10751, 878, 35, 12]",en,2025-05-17
How to Train Your Dragon,7.9,308,"[28, 10751, 14]",en,2025-06-06
Candle in the Tomb: The Worm Valley,8.0,3,"[28, 12, 27]",zh,2023-09-22
Hunt the Wicked,5.571,7,[28],zh,2024-02-12
Predator: Killer of Killers,7.997,548,"[16, 28, 878]",en,2025-06-05
The Accountant²,7.2,851,"[9648, 80, 53]",en,2025-04-23
Deep Cover,6.743,144,"[28, 35, 80]",en,2025-06-12
Utopia,5.432,37,"[9648, 53, 28, 878]",en,2024-12-09
Life After Fighting,7.1,38,"[28, 18, 53]",en,2024-06-07
Sinners,7.552,1548,"[27, 53, 14]",en,2025-04-16
K.O.,6.584,131,"[28, 18, 12]",fr,2025-06-05
Mikaela,6.196,51,"[28, 53]",es,2025-01-31
A Minecraft Movie,6.507,1818,"[10751, 35, 12, 14]",en,2025-03-31
The Roundup: Punishment,6.854,140,"[28, 80, 18, 53, 35]",ko,2024-04-24
Crazy Lizard,0.0,0,"[28, 53, 27]",zh,2024-03-27
Kayara,7.724,49,"[12, 16, 10751]",en,2025-01-02
Diablo,6.767,30,"[28, 53]",en,2025-06-13
Possessions,4.0,18,[27],en,2024-04-12
28 Years Later,7.486,73,"[27, 53, 878]",en,2025-06-18
Ballerina,7.1,324,"[28, 53, 80]",en,2025-06-04
Mission: Impossible - The Final Reckoning,7.154,811,"[28, 12, 53]",en,2025-05-17
The Ugly Stepsister,7.111,185,"[27, 35, 14, 18]",no,2025-03-07
Echo Valley,6.478,114,"[53, 18]",en,2025-06-13
A Working Man,6.69,1265,"[28, 80, 53]",en,2025-03-26
Snow White,4.282,1144,"[10751, 14]",en,2025-03-12
3ão: An Endless Story,8.375,4,"[10751, 12]",pt,2023-12-11
Laila,5.8,5,"[35, 10749]",te,2025-02-14
Snow White,6.4,5,"[16, 10751, 14]",en,2025-03-07
How to Train Your Dragon,7.845,13498,"[14, 12, 16, 10751]",en,2010-03-18
Moana 2,7.076,2481,"[16, 12, 10751, 35]",en,2024-11-21
Shadow Force,6.418,79,"[28, 18, 53]",en,2025-05-01
Thunderbolts*,7.403,1140,"[28, 878, 12]",en,2025-04-30
Warfare,7.184,595,"[10752, 28]",en,2025-04-09
Taandob,8.75,4,"[28, 53]",bn,2025-06-07
28 Days Later,7.239,7224,"[27, 53, 878]",en,2002-10-31
How to Train Your Dragon 2,7.675,9874,"[14, 28, 12, 16, 35, 10751]",en,2014-06-05
