title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,number_of_seasons,number_of_episodes
Among Friends,3.2,14,"[18, 10751]",hu,1998-10-26,12.0,,,23,10456
The Daily Show,6.363,578,"[10763, 35]",en,1996-07-22,30.0,,,30,4110
The Late Late Show with Craig Ferguson,6.785,107,"[35, 10767]",en,2005-01-03,60.0,,,11,2057
Late Night with Seth Meyers,5.333,108,"[10767, 35]",en,2014-02-25,45.0,,,12,1665
Watch What Happens Live with Andy Cohen,5.136,77,"[10767, 35]",en,2009-07-16,30.0,,,23,2865
Tomorrow Is Ours,6.343,67,"[80, 18, 10766]",fr,2017-07-17,25.0,,,1,1925
The Colbert Report,6.862,276,"[10763, 35]",en,2005-10-17,24.0,,,11,1447
Good Mythical Morning,7.038,80,[35],en,2012-01-09,10.0,,,27,3110
Rooster Teeth Animated Adventures,8.6,5,"[16, 35, 10767]",en,2011-09-28,,,,13,670
Late Show with David Letterman,6.325,154,"[10767, 35]",en,1993-08-30,63.0,,,22,4252
The Amazing Race,6.873,153,[10764],en,2001-09-05,42.0,,,37,437
The Late Show with Stephen Colbert,6.355,310,"[35, 10767]",en,2015-09-08,,,,10,1679
Grey's Anatomy,8.225,10541,[18],en,2005-03-27,,,,21,447
Bob's Burgers,7.824,992,"[16, 35]",en,2011-01-09,23.0,,,15,292
Last Week Tonight with John Oliver,7.9,718,"[10767, 35, 10763]",en,2014-04-27,,,,12,338
The Tonight Show Starring Jimmy Fallon,5.865,341,"[35, 10767]",en,2014-02-17,45.0,,,12,1560
Pokémon,7.93,1970,"[16, 10759, 10765]",ja,1997-04-01,,,,25,1235
Egoli: Place of Gold,6.8,4,[10766],af,1992-04-06,22.0,,,18,4689
Doraemon,8.1,179,"[10759, 16, 35, 10765, 10762, 10751]",ja,2005-04-22,22.0,,,1,1319
NPR Tiny Desk Concerts,7.8,8,[],en,2008-04-22,20.0,,,19,1617
Hawaii Five-0,7.754,1775,"[80, 18, 10759]",en,2010-09-20,42.0,,,10,240
America's Next Top Model,5.3,133,[10764],en,2003-05-20,42.0,,,24,312
This Old House,5.4,34,"[99, 10764]",en,1979-01-01,30.0,,,46,1188
White Lies,6.0,3,[10766],sv,1997-10-27,25.0,,,7,619
Game of Thrones,8.457,25150,"[10765, 18, 10759]",en,2011-04-17,,,,8,73
The Late Late Show with James Corden,5.312,138,[10767],en,2015-03-23,40.0,,,8,1200
The Kelly Clarkson Show,6.477,65,[10767],en,2019-09-09,60.0,,,6,828
The Johannes B. Kerner Show,4.0,1,[10767],de,1998-01-22,60.0,,,11,695
Garfield and Friends,7.272,362,"[16, 35, 10762]",en,1988-09-17,23.0,,,7,363
Getroud met Rugby: Die Sepie,3.0,1,[10766],af,2016-04-04,,,,7,1695
Thomas & Friends,6.754,128,"[16, 10762]",en,1984-10-09,22.0,,,26,666
The Adventures of Ozzie and Harriet,5.9,13,"[35, 10751]",en,1952-10-03,30.0,,,14,435
Horizon,7.516,32,[99],en,1964-02-04,60.0,,,60,1169
Na Wspólnej,4.4,9,[10766],pl,2003-01-27,25.0,,,24,3663
The Graham Norton Show,7.2,265,"[35, 10767]",en,2007-02-22,49.0,,,32,525
The Amazing World of Gumball,8.494,1535,"[16, 10751, 10765, 35]",en,2011-05-03,11.0,,,7,266
Criminal Minds,8.307,3854,"[80, 18, 9648]",en,2005-09-22,42.0,,,18,354
Sazae-san,6.5,6,"[16, 35, 10751]",ja,1969-10-14,25.0,,,1,2650
Chespirito: Not Really on Purpose,8.153,95,"[18, 35]",es,2025-06-05,,,,1,8
The Rookie,8.523,2500,"[80, 18, 35]",en,2018-10-16,,,,8,127
Big Brother,4.18,61,[10764],en,2000-07-18,60.0,,,19,1486
