id,title,rating,votes,genre_ids,language,release_date,runtime,budget,revenue,popularity,overview,number_of_seasons,number_of_episodes,production_countries,networks,creators,main_actors,source_category,type
841,Newsnight,6.2,10,[10763],en,1980-01-30,50.0,,,164.4349,A daily BBC Television current affairs programme which specialises in analysis and often robust cross-examination of senior politicians.,18,3398.0,['United Kingdom'],"['BBC One', 'BBC Two']",[],[],popularity.desc_1980,tv
734,"Magnum, P.I.",7.274,405,"[10759, 80, 18, 9648]",en,1980-12-11,45.0,,,97.5983,"A private investigator who works when he wants, lives in a beachfront estate in Hawaii, drives a posh Ferrari, runs up an unlimited tab at a swank bar, and charms attractive women in peril - that's the lifestyle of Thomas Magnum, aka Magnum, P.I.",8,162.0,['United States of America'],['CBS'],"['Glen A. Larson', 'Donald P. Bellisario']","['Tom Selleck', 'John Hillerman', 'Roger E. Mosley', 'Larry Manetti']",genre_18_1980,tv
10731,The Plastic Man Comedy/Adventure Show,6.3,10,[16],en,1980-09-27,30.0,,,75.0336,The Plastic Man Comedy/Adventure Show is an animated television series produced by Ruby-Spears Productions from 1979 to 1981; it was shown right after Super Friends on the ABC Network. It featured various adventures of the DC Comics superhero Plastic Man. The show features many adventures in differe,1,35.0,[],['ABC'],[],"['Alan Oppenheimer', 'Alan Young', 'Jack Baker', 'Frank Welker', 'Michael Bell']",genre_16_1980,tv
9773,Captain Caveman and the Teen Angels,7.043,129,"[16, 35, 10751, 10762, 9648]",en,1980-03-08,11.0,,,67.1954,"The 1977 and 1978 episodes were originally broadcasted as segments on the package show Scooby's All-Star Laff-A-Lympics and Scooby's All-Stars.

The 1980 episodes featured Captain Caveman and the Teen Angels in their own half-hour timeslot.",1,16.0,['United States of America'],['ABC'],"['Joe Ruby', 'Ken Spears']","['Mel Blanc', 'Vernee Watson-Johnson', 'Marilyn Schreffler', 'Laurel Page', 'Nicole Jaffe']",genre_35_1980,tv
3131,3-2-1 Contact,7.0,8,[],en,1980-01-14,30.0,,,59.7456,"3-2-1 Contact is an American science educational television show that aired on PBS from 1980 to 1988, and an adjoining children's magazine. The show, a production of the Children's Television Workshop, teaches scientific principles and their applications. Dr. Edward G. Atkins, who was responsible fo",7,223.0,['United States of America'],['PBS'],[],[],popularity.desc_1980,tv
43513,The Adventures of Tom Sawyer,7.698,139,"[16, 10759, 18]",ja,1980-01-06,24.0,,,50.1954,"Tom Sawyer is a young boy growing up along the Mississippi River in the mid 1800s. Along with his best friend Huckleberry Finn, he spends his days ditching school, fishing, climbing trees and having adventures.",1,49.0,['Japan'],['Fuji TV'],['Hiroshi Saito'],"['Masako Nozawa', 'Kazuyo Aoki', 'Keiko Han', 'Ichiro Nagai', 'Ikuo Nishikawa']",genre_18_1980,tv
133,Juliet Bravo,5.8,5,"[80, 18]",en,1980-08-30,50.0,,,43.0256,"Juliet Bravo was a drama that focused on two female police inspectors, neither of whom were called Juliet Bravo!  These two inspectors worked in the small fictional town of Hartley, Lancashire. Jean Darblay was on the scene first and had trouble with her sexist colleagues. However she soon managed t",6,88.0,[],['BBC One'],['Ian Kennedy Martin'],"['Anna Carteret', 'Edward Peel', 'David Ellison', 'Noel Collins', 'C.J. Allen']",genre_80_1980,tv
2134,The Gentle Touch,6.9,7,"[80, 18]",en,1980-04-11,60.0,,,42.8959,"The Gentle Touch is a British police drama television series made by London Weekend Television for ITV which ran from 1980-1984. Commencing transmission on 11 April 1980, the series is notable for being the first British series to feature a female police detective as its leading character, ahead of ",5,56.0,[],['ITV1'],['Terence Feely'],"['Jill Gascoine', 'Derek Thompson', 'William Marlowe', ""Kevin O'Shea"", 'Nigel Rathbone']",popularity.desc_1980,tv
83592,Verstehen Sie Spaß?,3.8,5,[10764],de,1980-01-31,180.0,,,42.3534,,7,132.0,['Germany'],['Das Erste'],['Kurt Felix'],['Frank Elstner'],popularity.desc_1980,tv
10122,It's a Living,5.7,11,[35],en,1980-10-30,30.0,,,39.2906,"It's a Living is an American sitcom set in a restaurant at the top of the Bonaventure Hotel in Los Angeles. The show aired on ABC from October 30, 1980 until June 11, 1982. After the series was cancelled, new episodes aired in first-run syndication from September 28, 1985 to April 8, 1989. The serie",6,120.0,[],"['ABC', 'Syndication']","['Dick Clair', 'Jenna McMahon', 'Stu Silver']","['Barrie Youngfellow', 'Marian Mercer', 'Gail Edwards', 'Crystal Bernard', 'Sheryl Lee Ralph']",genre_35_1980,tv
